event,manifold_id,poly_condition_id,manifold_yes,poly_yes,total,arb_gap,status
Will Japan win the 2026 World Cup?,COUtqqSLcN,0x0189df05ed7bf84d799213b01a79571e305c03b2ac5359cfbb3a323448ba20fa,0.0201,0.0175,0.0376,0.9624,ARB_OPPORTUNITY
Will Donald Trump ever visit Ukraine?,AFTDO106AsIkAOTyxQvl,0x89522d57b6a2cca2f737872db3ca4adcbaf0252fda9a265d90d549e7aee7bd43,0.2637,0.13,0.3937,0.6063,ARB_OPPORTUNITY
Will Russia capture Lyman in 2026?,8LP8RUscPs,0x2d02521a1f5f3ae2aca49885834bdb34b279cf9551feebe4e13474a9150c4f9f,0.7565,0.125,0.8815,0.1185,ARB_OPPORTUNITY
Will OpenAI acquire Pinterest by the end of 2026?,tg0zI6QE8P,0xa9dc96c55efbcec6d28d4c2ec1ec939681d132174f03e5e9a5ae8e9a48eae70a,0.0941,0.075,0.1691,0.8309,ARB_OPPORTUNITY
Will Stephen A. Smith be the Democratic Nominee for President in 2028?,zs9C9Q20dP,0xc8f1cf5d4f26e0fd9c8fe89f2a7b3263b902cf14fde7bfccef525753bb492e47,0.018,0.0105,0.0285,0.9715,ARB_OPPORTUNITY
Republicans win 2028 US Presidential Election?,mhojsgoybs,0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,0.4093,0.395,0.8043,0.1957,ARB_OPPORTUNITY
Will Spain win the Fifa World Cup,ns0L52EcPt,0x7976b8dbacf9077eb1453a62bcefd6ab2df199acd28aad276ff0d920d6992892,0.16,0.1745,0.3345,0.6655,ARB_OPPORTUNITY
Will Apple release a foldable phone before 2028?,e2csiBlECoxw18VXFQTN,0x7209592f294c2b3a7230ea66a4483ecfe1a57ae79144e5e735654829e00cfc68,0.8526,0.845,1.6976,-0.6976,OVER_ROUND
France defaults on debt by 2027?,SdE8zPhhZc,0x5b9cb2fbdfb50eae19a1fdd228487ff797fab1539a1e74565b5e6ad3b586368b,0.07,0.041,0.111,0.889,ARB_OPPORTUNITY
Will Trump pardon Nicolas Maduro before 1 Feb 2027?,6QAgNtlNhR,0x1b53ad65dae4809d3d1097bbcd6be1f44ba5cddd47be9ce21896722c7d79681a,0.1208,0.08,0.2008,0.7992,ARB_OPPORTUNITY
Will Russia join the EU before 2040?,TzkwIxLZ0ZshnXT1D49w,0xb5fb3fd4dbc7fdc70e3666ed4193e3171ecc257dcd43e01b36dbd4efa01d777e,0.0859,0.048,0.1339,0.8661,ARB_OPPORTUNITY
Will Kamala Harris be elected governor of California in 2026?,S0Nhz5S5Sg,0x6d6b9d5f81726194e8e5969bc5fd9ad5aefcf9ebe836f44d734e3fe18c15a805,0.0138,0.0025,0.0163,0.9837,ARB_OPPORTUNITY
Will Eleni Kounalakis be elected Governor of California in 2026?,As15lo4LvjBK6e9X9UJD,0x331cd65740d378b98427723b33b353c62241e7bdabfaa01daac48d9caf85b401,0.013,0.0015,0.0145,0.9855,ARB_OPPORTUNITY
Will Syria recognize Israel by EOY 2026?,us0cPS0Rsz,0xdf5191450300fdcb365d50bcc82acf0e67c851d4c894b76d63fb5f8613b10f1f,0.1724,0.0225,0.1949,0.8051,ARB_OPPORTUNITY
Mamdani opens city-owned grocery store by June 30?,CNZ6LZuA5R,0x61af02c9250c3917602e21c301e2f0cd032ea4e25bdef3751846b4d5f1c22799,0.0742,0.0155,0.0897,0.9103,ARB_OPPORTUNITY
Will the US recognize Somaliland before 2028?,5Og8OOU2dC,0x48b6208c56c2bac5c29f4c91e951c2c17d706b38168d0487860e449a0bffb01a,0.6484,0.132,0.7804,0.2196,ARB_OPPORTUNITY
Will Trump win in 2028 Presidential Elections,anknmgg1tv,0xc586d15be76278848a26c761c2fcf70f8cebca71815cfab83e656ff5c6ec13a9,0.02,0.0095,0.0295,0.9705,ARB_OPPORTUNITY
Will China invade Taiwan by EOY 2030,Eg5Adht80c,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0.28,0.0745,0.3545,0.6455,ARB_OPPORTUNITY
Will Eric Swalwell be elected the next Governor of California?,AnE5Zt5QlC,0x957ddc82dc11959c5e6940b0239aecc050230c5b6ce8673bff21c14fe74bcb6e,0.01,0.0015,0.0115,0.9885,ARB_OPPORTUNITY
Will Russia invade a NATO country before 2030?,0GxQX0cM0yzVTzFmo70A,0x495e6b49e7397bb4e6f8ce69e246ccb33b744678bd9bf88cbecbd3a113b05423,0.1906,0.0165,0.2071,0.7929,ARB_OPPORTUNITY
Will Marine Le Pen be a candidate in the 2027 French presidential election?,ytAtdlnP9c,0x8126317d621047fb13d508a2651eecc8d38305904671822a62309c5aabd353aa,0.166,0.055,0.221,0.779,ARB_OPPORTUNITY
Will the democrats win the 2026 Alabama governor election?,gA2ALuO5AS,0xb180e9dc07c37633541744711a43aaa70bf3a537b6e669e8c16909c7af39f0ad,0.059,0.075,0.134,0.866,ARB_OPPORTUNITY
Will California independence be voted on in 2026?,nzIsdlq8Ot,0xfa036bb861dd01304a9ad13649947e8c4834a3accd3af872531bac6e0ada2129,0.1188,0.1225,0.2413,0.7587,ARB_OPPORTUNITY
Will US president Donald Trump visit Iran in 2026,gzdZunEZ0n,0x3d7540115867219195e1385b619a7c472ac732062552f51738616bcdf6923221,0.0847,0.51,0.5947,0.4053,ARB_OPPORTUNITY
Will Jesus Christ return in 2026?,Rz6NLhnAII,0x0b4cc3b739e1dfe5d73274740e7308b6fb389c5af040c3a174923d928d134bee,0.01,0.021,0.031,0.969,ARB_OPPORTUNITY
Will Donald Trump be the Republican nominee in 2028?,T2vZvpaNs0l9ZibbENXX,0xfa13f56aa5b76ca0dd645bfd7822dc9eb1465601c0143d377e89befbaa6644b4,0.0758,0.0225,0.0983,0.9017,ARB_OPPORTUNITY
Will a Canadian team win the 2026 NHL Stanley Cup?,OPzOPlytsz,0x52847ca1413b76a5570b97c0c432e38dbe61b0140f9d45e912604591b08f6fca,0.1363,0.142,0.2783,0.7217,ARB_OPPORTUNITY
NATO dissolves by 2028,snPnCdIdng,0xf3fe597da58af1ccd31a976c1a7d5a4ab27b7fc6dea99a1f66e223db3f681de8,0.1356,0.0425,0.1781,0.8219,ARB_OPPORTUNITY
US x Denmark Military clash before 2027?,tqOpNQ8Ayg,0xe795e57fe247a42e1e12bf543e6cd8bc859c850ab8194da6367e080fa15f5e2b,0.0737,0.065,0.1387,0.8613,ARB_OPPORTUNITY
Will United Russia get more seats in the next Russian Duma election than the one in 2021?,ptU8SUcIEl,0x2421eb7f6db120f7fa8a4bac72805d412a397b3d99bcb1202a05cf9b35f63176,0.6481,0.205,0.8531,0.1469,ARB_OPPORTUNITY
